Przemyslaw Stpiczynski	 2D constraint language
Lawrence V. Saxton	 Bochum database.
Qing Li	 Bochum database.
Shahab Kamali	 Bochum database.
Walid A. Najjar	 Bochum database.
Christoph Lindemann	 body
Mathias Bauer	 body
Paulo J. G. Lisboa	 body
Sergio Luj&aacute;n-Mora	 body
Bernd Schneider	 body suit
Panagiotis A. Adamidis	 body suit
Andrew Y. Lindell	 body-centered coordinates
Luca Console	 body-centered coordinates
Gerard Salton	 body-centred fixation point
Ivan Bratko	 body-centred fixation point
Torsten Otto	 body-centred fixation point
Ant&oacute;nio R. C. Paiva	 book store
Karen D. Devine	 book store
Christian Schallhart	 bookmarks
Janka Chleb&iacute;kov&aacute;	 bookmarks
Rob J. van Glabbeek	 Boolean algebra
G&uuml;nther Ruhe	 Boolean algebras
Mihalis Yannakakis	 Boolean algebras
Tom Gross	 Boolean algebras
Boris Novikov	 boolean combinations
Namrata Vaswani	 boolean combinations
Sakti Pramanik	 boolean combinations
Miron Livny	 Boolean formula
Shoichi Hirose	 Boolean formula
David Gregg	 Boolean function
Gerard J. Holzmann	 Boolean functions
James Harland	 Boolean functions
Jeffrey L. Krolik	 Boolean functions
Kellogg S. Booth	 Boolean functions
Mar&iacute;a Victoria Cengarle	 Boolean functions
Mathias Weske	 Boolean functions
Nandit Soparkar	 Boolean functions
Ning Zhong	 Boolean functions
Peter F. Sturm	 Boolean functions
Renato Fonseca F. Werneck	 Boolean functions
Renato Iannella	 Boolean functions
Xifeng Yan	 Boolean functions
Christian Lengauer	 Boolean hierarchy
Francesco Bonchi	 Boolean hierarchy
Francesco Calimeri	 Boolean hierarchy
Neal Koblitz	 Boolean hierarchy
Slim Abdennadher	 Boolean hierarchy
Stefanos D. Kollias	 Boolean hierarchy
Tammara Massey	 Boolean hierarchy
Helmut Schwegler	 Boolean query formulation
Antonio Boccalatte	 Boolean relations
Cristiana Bolchini	 Boolean relations
Lila Shnaiderman	 Boolean relations
Lincoln Stein	 Boolean relations
Michael Kuhn 0002	 Boolean relations
Mohammad Shaqfeh	 Boolean relations
Andrea Maurino	 boolean satisfiability
Ren&eacute;e J. Miller	 boolean satisfiability
Joseph Reagle	 boosting algorithm
Pierre Gan&ccedil;arski	 boosting algorithm
Shailendra Singh 0003	 boosting algorithm
Layne T. Watson	 Booth encoding
Michael F. Worboys	 Booth encoding
Kim-Fung Man	 bootstrap
Peter Braun 0003	 bootstrap
Mark A. Paskin	 bootstrapping
Mark Aagaard	 bootstrapping
Lakshmish Ramaswamy	 bootstrapping algorithm
Nelly Fazio	 bootstrapping algorithm
Pim Tuyls	 bootstrapping algorithm
Andrea Califano	 border gateway protocol
Brian D. O. Anderson	 border gateway protocol
Lawrence B. Holder	 border gateway protocol
Nadia Nedjah	 border gateway protocol
Robert S. Boyer	 border gateway protocol
Susanne Schmitt	 border routers
Michael Kuhn 0004	 bordercast
Nevin Heintze	 bordercast
Rynson W. H. Lau	 bordercast
Claudine Moulin	 Boston
Devan Sohier	 Boston
Hans van Maaren	 Boston
Patrice Chalin	 Boston
Jean-Pierre Chevallet	 bottleneck
Patric R. J. &Ouml;sterg&aring;rd	 bottleneck
Timothy N. Davidson	 bottleneck
Alexander Markowetz	 bottleneck bandwidth
Dario V. Forte	 bottleneck bandwidth
Kamesh Munagala	 bottleneck bandwidth
Richard Discenza	 bottleneck bandwidth
Ernst G&uuml;nter Schukat-Talamazzini	 bottom-up approach
Evimaria Terzi	 bottom-up approach
Hugh E. Williams	 bottom-up approach
Jacques D&eacute;sarm&eacute;nien	 bottom-up approach
Mahesh Balakrishnan	 bound packet sizes
Marc Ronthaler	 bound packet sizes
Maureen J. Simmonds	 bound packet sizes
Y&uuml;cel Karabulut	 bound packet sizes
Danny Krizanc	 boundary element method
Marcel J. T. Reinders	 boundary element method
Richard Jozsa	 boundary element method
James E. Davis	 boundary extraction.
Xavier Rival	 boundary extraction.
Sandeep Sen	 boundary finding
Xavier Tricoche	 boundary finding
Krzysztof Diks	 boundary interpolation
Luiz Andr&eacute; Barroso	 boundary interpolation
Khalid Sayood	 boundary object
Michael Beetz	 boundary object
Abdol-Hossein Esfahanian	 Boundary Policies
Marleen Huysman	 Boundary Policies
Lori L. Pollock	 Boundary Scan
Silke Tri&szlig;l	 Boundary Scan
Jochen Burghardt	 boundary scan testing
Jochen H. Schiller	 boundary scan testing
Mark Sh. Levin	 boundary scan testing
Oded Schramm	 boundary scan testing
Ricky K. Taira	 boundary scan testing
Robert E. Schapire	 boundary scan testing
Sophie Lambert-Lacroix	 boundary scan testing
Sophie Tison	 boundary scan testing
Peter Pepper	 boundary values
Raphael B. Yehezkael	 boundary values
Tsuyoshi Takagi	 boundary values
Danny Raz	 boundary-elements methods
Marcel Preu&szlig;	 boundary-elements methods
Richard K. Belew	 boundary-elements methods
Christopher L. Miller	 Bounded Arithmetic.
Hao Wang	 bounded buffers
Luca de Alfaro	 bounded buffers
Stephen R. Marschner	 bounded buffers
Kenneth S&ouml;rensen	 bounded cooperative concurrency
Beryl Plimmer	 bounded flooding
Dhananjay M. Dhamdhere	 bounded flooding
P. J. Narayanan	 bounded flooding
Richang Hong	 bounded flooding
Gilles Falquet	 bounded overhead
Jos&eacute; Antonio Vila Sobrino	 bounded overhead
Robert A. Walker	 bounded overhead
Roger Zimmermann	 bounded overhead
Richard J. Trefler	 bounded response time
Weiyi Meng	 bounded response time
Edmund K. Burke	 bounded time message transport
Holger Petersen	 bounded time message transport
Marcus Hutter	 bounded time message transport
Martin Steinebach	 bounded time message transport
Robert B. Allen	 bounded time message transport
Lila Shnaiderman	 Bounded-distance decoding
Przemyslaw Kazienko	 Bounded-distance decoding
Patric R. J. &Ouml;sterg&aring;rd	 bounded-radius Steiner trees
Steven Feiner	 bounded-radius Steiner trees
Arvind Krishnamurthy	 box-spline
Rushed Kanawati	 box-spline
Martin J. Turner	 Boyer-Moore logic
Philip S. Yu	 Boyer-Moore logic
Valentine Kabanets	 Boyer-Moore logic
Philip W. Dart	 Boyer-Moore theorem prover
Baochun Li	 BPP simulations
David C. Parkes	 BPP simulations
Gabriele Puppis	 BPP simulations
Mirko Guarnera	 BPP simulations
Wolfgang Kastner	 brachistochrone
Antony I. T. Rowstron	 brain
Li Chen	 brain
Mary Beth Rosson	 brain
Ralf Herbrich	 brain
Ron Sacks-Davis	 brain
Sven Helmer	 brain
Yoginder S. Dandass	 brain
Dennis Sylvester	 branch and bound search
Jan Jaspars	 branch and bound search
Richard T. Snodgrass	 branch and bound search
B&eacute;atrice Rumpler	 Branch cuts
Ern&ouml; Pretsch	 Branch cuts
Michael N. Barth	 Branch cuts
Sourav S. Bhowmick	 Branch cuts
Ulrich R&uuml;de	 Branch cuts
Frank van Ham	 branch instructions
Leen Torenvliet	 branch instructions
Li Bai	 branch instructions
Aiman Hanna	 branch prediction
Alok Mishra	 branch prediction
Gabriel Valiente	 branch prediction
Gabriel Zachmann	 branch prediction
Gabriela Csurka	 Branch Prediction
Helmut Eirund	 branch prediction
Keith W. Hipel	 branch prediction
Knut Reinert	 branch prediction
Li Ding	 Branch Prediction
Lothar Baum	 Branch Prediction
Marcin Lawenda	 branch prediction
Marcin Mucha	 branch prediction
Maya Lincoln	 branch prediction
Norihisa Komoda	 branch prediction
Peter B&ouml;hm	 branch prediction
Shigeyoshi Tsutsui	 branch prediction
Shmuel Peleg	 branch prediction
Slawomir T. Wierzchon	 Branch Prediction
Stewart Tansley	 branch prediction
Umar Saif	 branch prediction
Kuldip K. Paliwal	 branch predictor
Mark Staples	 branch predictor
Pablo Fernandez	 branch predictor
Robert G. Langlois	 branch predictor
Ewa Deelman	 branch targets
Bernard Moulin	 branch testing
Richard Walker	 branch testing
Yi Zhuang	 branch testing
Guiguang Ding	 branch-and-bound
Martin Sch&uuml;tze	 branch-and-bound
Michael L. Honig	 branch-and-bound
Morten Fjeld	 branch-and-bound
Thierry Vi&eacute;ville	 branch-and-bound
Tim Kraska	 branch-and-bound
Nicholas Ayache	 branch-and-bound algorithms
Dharma P. Agrawal	 branch-and-bound strategy
Nicholas Bambos	 branch-and-bound strategy
Martine D. F. Schlag	 branching time temporal properties
Soon Ae Chun	 branching time temporal properties
Nicole Yankelovich	 branching-time
Zhivko Prodanov Nedev	 branching-time
Sa&iuml;d Zeghloul	 breadth-first
Yeung Yam	 breadth-first
David Lie	 breadth-first node expansion
Khalid Sayood	 breadth-first node expansion
Neal E. Young	 breadth-first rollback
Pramod K. Varshney	 breadth-first rollback
Trevor J. M. Bench-Capon	 breadth-first traversal
Chris J. Harris	 Breakdown of the execution times
Susana Pajares Tosca	 Breakdown of the execution times
Michael Kohlhase	 breakdown utilization experiments
Robert Veroff	 breakdown utilization experiments
Wo-Shun Luk	 breakdown utilization experiments
Michael H. Freedman	 breaking security protocols.
Aleksandar Kavcic	 Breeder Genetic Algorithms.
Ioana Banicescu	 Breeder Genetic Algorithms.
Luiz Fernando Capretz	 Breeder Genetic Algorithms.
Torsten M&ouml;ller	 Breeder Genetic Algorithms.
Martin Hofmann	 breeding
Michael L. Littman	 breeding
Stefan Leitich	 breeding
Guohong Cao	 Brent-Kung
Joseph L. Zachary	 Brent-Kung
Klaus Pohl	 Brent-Kung
Thomas Baign&egrave;res	 Brent-Kung
Paolo Bientinesi	 bricks
Brian V. Funt	 bridge inspection
Juan Carlos L&oacute;pez	 bridge inspection
Michael O. Ball	 bridge inspection
Suguru Arimoto	 bridge inspection
Klaus Dohmen	 bridges
Lars Arge	 bridges
Peter M. Hall	 bridges
Azzedine Boukerche	 Bridging Fault
Kang G. Shin	 Bridging Fault
Lee Flax	 Bridging Fault
Norman P. Jouppi	 brightness
Sridhar Mahadevan	 brightness
Subbarao Kambhampati	 brightness
Ralf Klasing	 brightness patterns
Srihari Nelakuditi	 brightness values
Subhas C. Nandy	 brightness values
Norman Ramsey	 brightness-change constraint equation
Dhia Mahjoub	 broadband ISDN
Milind Dawande	 broadband ISDN
Pranam Kolari	 Broadband Networks
Alyssa B. Apsel	 broadcast
Iason Vittorias	 Broadcast
Jacques Verstra&euml;te	 Broadcast
Jacques-Arthur Weil	 broadcast
Jadwiga Indulska	 Broadcast
James George Dunham	 broadcast
Mario Tokoro	 Broadcast
Martin Kutrib	 Broadcast
Peter Grogono	 broadcast
Radha Chitta	 broadcast
Radha Jagadeesan	 Broadcast
Radhia Cousot	 broadcast
Radu Marinescu	 Broadcast
Renato Fonseca F. Werneck	 Broadcast
Ruth Kurniawati	 broadcast
Simon King	 broadcast
Jeffrey V. Nickerson	 broadcast channels
Mircea-Florin Vaida	 broadcast channels
Munindar P. Singh	 broadcast channels
John Regehr	 broadcast disks
Lakhmi C. Jain	 broadcast disks
Luc Segoufin	 broadcast disks
Manu Malek	 broadcast disks
Evan P. Harris	 broadcast encryption
Luciano Pandolfi	 broadcast encryption
Ludek Kucera	 broadcast encryption
Robert P. Burton	 broadcast encryption
Rohit Chadha	 broadcast encryption
Roland Hjerppe	 broadcast encryption
Lance Fortnow	 broadcast event-driven interpreter
Maya Lincoln	 broadcast event-driven interpreter
Michael L. Littman	 broadcast event-driven interpreter
St&eacute;phane Bressan	 broadcast event-driven interpreter
Stefan Tai	 broadcast event-driven interpreter
Reza Azarderakhsh	 broadcast scheduling
Sebastian Danicic	 broadcast scheduling
Andrzej Duda	 broadcasting
Christos D. Zaroliagis	 Broadcasting
Herbert Bay	 Broadcasting
Hong Wang 0004	 Broadcasting
Jukka Riekki	 broadcasting
Kyo Kageura	 broadcasting
Larry S. Davis	 broadcasting
Marc Sebban	 broadcasting
Nicolette de Keizer	 broadcasting
Ulrich Zukowski	 broadcasting
Daniel Ortiz Arroyo	 broadcasting protocols
Timo O. Alanko	 broadcasting protocols
Licheng Jiao	 broken assumptions
Marta Pati&ntilde;o-Mart&iacute;nez	 broken assumptions
G&eacute;rald Oster	 broken inclusion
Stephen F. Bush	 broken inclusion
Alessandro Fantechi	 Broker
S. Sudarshan	 Broker
Jane W.-S. Liu	 broker architecture
Kui Wu	 broker architecture
L&aacute;szl&oacute; Lov&aacute;sz	 broker architecture
Nathalie Bertrand	 broker architecture
Richard Fikes	 broker architecture
Andrea Bobbio	 broker pattern
Jozef Hooman	 broker pattern
Janet C. Read	 broker performance
Kuldip K. Paliwal	 broker performance
L&eacute;lia Blin	 broker performance
Nathalie Bertrand 0002	 broker performance
Richard Furuta	 broker performance
Christian Scheideler	 browser
Janne Koljonen	 browser
Massimiliano Corsini	 browsers
Tsuyoshi Takagi	 browsers
Christian Schindelhauer	 browserware
Jano I. van Hemert	 browserware
Alan Borning	 browsing
Alonzo Church	 browsing
Anne Adams	 browsing
Anthony Finkelstein	 browsing
Bettina Kemme	 browsing
Claus Vielhauer	 browsing
Fei Huang	 browsing
Hassan Sayyadi	 browsing
Jiannong Cao	 browsing
John Kingston	 browsing
Kaj Gr&oslash;nb&aelig;k	 browsing
Kristina H&ouml;&ouml;k	 browsing
Luc Brun	 browsing
Maurizio Martelli	 browsing
Nadia Nedjah	 browsing
Peter B. Seddon	 browsing
Robert Cartwright	 browsing
Robert P. Wilson	 browsing
John A. Ellis	 browsing semantics
Lydie du Bousquet	 browsing semantics
Rossano Gaeta	 browsing semantics
Sami S. Brandt	 browsing semantics
Solomon Marcus	 browsing semantics
Engin Ipek	 brushing
Eric Bruno	 brushing
Ruly Lai-U Choi	 brushing
Walter Unger	 BSD socket programming interface
Boualem Benatallah	 BSP Model
Fr&eacute;d&eacute;ric Guinand	 BSP Model
Margaret McGaley	 BSP Model
Michael Granitzer	 BSP Model
Amit Shukla	 BSP tree.
Stefan Krompass	 BSP tree.
Daniel E. O'Leary	 B-spline
Josep D&iacute;az	 B-spline
Maximilian Mengel	 B-spline
Joost N. Kok	 B-spline fitting
Mireille Ducass&eacute;	 B-spline fitting
Myriam Lamolle	 B-spline fitting
Joachim Hornegger	 B-splines
Juan Carlos P&eacute;rez-Cortes	 B-splines
Michael Matthies	 B-splines
Wendy J. Myrvold	 B-splines
Hsu-Chun Yen	 B-trees
Yangquan Chen	 B-trees
Mads Dam	 bubblesort algorithm
Wilhelm Ackermann	 bubblesort algorithm
Manfred Kerber	 bucketsort
Michel Beigbeder	 bucketsort
Dhiraj K. Pradhan	 buddy set
Sigurd Meldal	 buddy set
Ari Trachtenberg	 buffer allocation
Mikhail V. Volkov	 buffer allocation
Ann Blandford	 buffer caching
Khalid Benali	 buffer caching
Maria Hybinette	 buffer caching
Nicolas Christin	 buffer caching
Shmuel S. Oren	 buffer constraints
Yngvi Bj&ouml;rnsson	 buffer constraints
Robert Krauthgamer	 buffer consumption
Dhrubajyoti Goswami	 buffer control
Guntram Flach	 buffer control
Jens Gustedt	 buffer control
Michael L. Nelson	 buffer control
Robert R. Meyer	 buffer control
A. Inkeri Verkamo	 buffer insertion
Fr&eacute;d&eacute;ric Gardi	 Buffer Insertion
M. Akhtar Ali	 Buffer Insertion
Michael J. Neely	 buffer insertion
Neil A. Dodgson	 Buffer Insertion
Patrice Chalin	 Buffer Insertion
Peter Jonsson	 Buffer Insertion
Rafael Pe&ntilde;aloza	 Buffer Insertion
Christopher J. Hogger	 buffer management
Efthimis N. Efthimiadis	 buffer management
Igor Boglaev	 buffer management
Lata Narayanan	 buffer management
Rolf K&auml;ckenhoff	 buffer management
Arie E. Kaufman	 buffer memories
Miki Hermann	 buffer memories
Khalid Latif	 buffer overruns
Noriko Nagata	 buffer overruns
Lei Wang 0001	 Buffer replacement algorithm
Wai-Shing Luk	 Buffer replacement algorithm
Oskar von Stryk	 buffer size
Vipin Kumar	 buffer size
Heike Wehrheim	 buffer sizes
Manuel F&auml;hndrich	 buffer sizes
Sariel Har-Peled	 buffer sizes
Christoph M. Hoffmann	 buffer storage
Frans C. A. Groen	 buffer storage
J&uuml;rgen P. Schulze	 buffer storage
J&uuml;rgen Sauer	 buffer storage
Jutta A. M&uuml;lle	 buffer storage
Michel Lassalle	 buffer storage
Neil Immerman	 buffer storage
Riku J&auml;ntti	 buffer storage
Russell A. Martin	 buffer storage
Stefan B&uuml;ttcher	 buffer storage
Xiaolin Wu	 buffer storage
Yaacov Ritov	 buffer storage
Yannis Tzitzikas	 buffer storage
Min Wang	 buffers
Tim Nieberg	 buffers
Gennadi Rabinovitch	 building management systems
Gert Rickheit	 building management systems
Lenore D. Zuck	 building process
Bill Gates	 building reusable components
Dimitrios Michail	 building reusable components
Narayanan Raghupathy	 building reusable components
Robert W. Floyd	 building reusable components
Antti-Pekka Tuovinen	 Built-In Self-Test
Antun Balaz	 Built-In Self-Test
Ertugrul Necdet Ciftcioglu	 Built-In Self-Test
Jochen Koubek	 Built-in self-test
Lothar Baum	 Built-In Self-Test
Silvana Castano	 Built-In Self-Test
Silvano Martello	 Built-In Self-Test
Silvia Coradeschi	 Built-In Self-Test
Sorel Reisman	 Built-in self-test
Silvia E. Gordillo	 Built-In Self-Test (BIST)
C&eacute;lia da Costa Pereira	 bulk loading
Jean-Marie Favre	 bulk loading
Michael G. Christel	 bulk loading
Pierre Tellier	 bulk loading
Tobias Schreck	 bulk loading
Boudewijn R. Haverkort	 bulk synchronous parallel computing
Fr&eacute;d&eacute;ric Labrosse	 bulk synchronous parallel computing
Margaret Ross	 bulk synchronous parallel computing
Michael Grossniklaus	 bulk synchronous parallel computing
Brad Calder	 Bulk Synchronous Parallel Model
Fr&eacute;d&eacute;ric Loulergue	 Bulk Synchronous Parallel Model
Margaret-Anne D. Storey	 Bulk Synchronous Parallel Model
Michael Gschwind	 Bulk Synchronous Parallel Model
Alexander Mehler	 bulk transfer capacity
Richard Durbin	 bulk transfer capacity
Laxmi N. Bhuyan	 bunch graph
Qing Yang	 bunch graph
Shahar Maoz	 bunch graph
Walid G. Aref	 bunch graph
Denis B&eacute;chet	 bunding problem
Mark Smotherman	 burn-in process
Oded Shmueli	 burn-in process
Rico Zenklusen	 burn-in process
Robert Els&auml;sser	 burn-in process
Jiangchuan Liu	 burst hardware failures
Robert Krug 0002	 burst hardware failures
Jos&eacute; Marcos S. Nogueira	 burst tolerance
Peter Jonsson	 burst tolerance
Rainer Schrader	 burst tolerance
Guohong Cao	 bursty arrivals
Manolis Koubarakis	 bursty arrivals
Marcelo M. de Azevedo	 bursty arrivals
Guoliang Fan	 bursty data
Manolis Terrovitis	 bursty data
Marcelo P. Fiore	 bursty data
Lata Narayanan	 bursty interfering traffic streams
Marina Thottan	 bursty interfering traffic streams
Latanya Sweeney	 bursty Internet TCP traffic
