 2D constraint language	Przemyslaw Stpiczynski
 data-dependence speculation	Benjamin Martin 0002
 data-dependence speculation	Li Shen
 datadistribution	Matthias Dehmer
 datadistribution	Riccardo Torlone
 data-driven multichannel scheme	Junho Shim
 data-driven multichannel scheme	Kay Hiang Hoon
 data-driven multichannel scheme	Kimmo Varpaaniemi
 data-driven multichannel scheme	Leonidas Deligiannidis
 data-flow analyses	George Varghese
 dataflow analysis	Camillo J. Taylor
 dataflow analysis	Pai-Cheng Chu
 dataflow analysis	Tiru S. Arthanari
 data-flow analysis	David G. Kirkpatrick
 data-flow analysis	Kay Hiang Hoon
 data-flow analysis	Marco Andreetto
 data-flow analysis	Rich Caruana
 data-flow analysis	Yang Richard Yang
 data-flow analysis method	Georges Bastin
 data-flow graph	Gary H. Sockut
 data-flow graph	Martin L. Kersten
 data-flow graph	Martin P. Robillard
 data-flow graph	Rebecca N. Wright
 data-flow graph	Robert S. Friedman
 data-flow graph	Siau-Cheng Khoo
 data-flow graphs	Paulo Jorge S. G. Ferreira
 data-flow graphs	Susan Stepney
 dataflow machines	Hajime Kitakami
 dataflow machines	Ilia Petrov
 dataflow machines	Jonas S. Karlsson
 dataflow model	Harald Kosch
 dataflow model	Luca Simoncini
 dataflow model	Stephen R. Tate
 dataflow paradigm	John von Neumann
 dataflow paradigm	Joseph A. Konstan
 dataflow paradigm	Marie-Jeanne Lesot
 dataflow paradigm	Mesaac Makpangou
 datagram communication	Diemo Urbig
 datagram communication	Nicholas J. Belkin
 data-parallel language features	Bruce Schneier
 data-parallel language features	Christoph Schommer
 data-parallel language features	Lars Bauer
 data-parallel language features	Linda C. van der Gaag
 data-parallel language features	Philipp Slusallek
 data-parallel language features	Robert M. Graham
 data-parallel languages	Georges G. Grinstein
 data-parallel programming	Artin Avanes
 data-parallel programming	Micah Beck
 data-parallel programming	Naoki Kobayashi
 data-parallel programming	Robert Krug 0002
 data-parallel programming.	Marc Najork
 data-parallel programming.	Matthai Philipose
 data-parallel programs	Margrit Betke
 data-parallel programs	Rudi Knorr
 data-parallelism	David G. M. Mitchell
 data-parallelism	Marco Attene
 data-parallelism	Richang Hong
 datapath	Fernando N&aacute;ufel do Amaral
 datapath	Taghi M. Khoshgoftaar
 datapath design	Harry Buhrman
 datapath design	Lukas Relly
 datapath design	Marc Shapiro
 datapath design	Paul R. Schrater
 datapath scheduling	Taieb Znati
 data-race-free-0	Manuel V. Hermenegildo
 data-race-free-0	Tapani Hyttinen
 data-race-free-1	Manuel Vilares Ferro
 data-race-free-1	Tapio Lokki
 dataset	Jan Hoffmann 0002
 dataset	Janusz Sobecki
 dataset	Yuan Yan Tang
 DaVinci	Walther von Hahn
 Davis-Putnam resolution	Chang Hwan Peter Kim
 Davis-Putnam resolution	Rui Wang 0004
 Davis-Putnam resolution	Srinivasan Parthasarathy
 DAVRID multithreaded architecture	Frank Wagner 0002
 DAVRID multithreaded architecture	Lefteris Angelis
 DAVRID multithreaded architecture	Li Ding
 DB2 environment	Daniel Ortiz Arroyo
 DB2 environment	Luigi Logrippo
 DB2 environment	Michel Cosnard
 DB2 environment	Waleed Meleis
 DBB-tree	Fr&eacute;d&eacute;ric Guinand
 DBB-tree	Neil C. Rowe
 DBB-tree	Peter K. Allen
 DBB-tree	Rafael Prikladnicki
 DCG	Anagha Kulkarni
 DCG	Nicholas Nash
 DCT	Laxmi N. Bhuyan
 DCT	Linda Doyle
 DCT	Monica Reggiani
 DCT	Peter Selinger
 DCT	St&eacute;phane Jean
 DCT	Terry Bollinger
 DDBG	B. F. Caviness
 DDBG	Florence Maraninchi
 DDBG	Marie-Paule Cani
 DDBG	Nadia Pisanti
 DDBG	Sanjiva Prasad
 DDBG	Thomas D. C. Little
 DDES protocol	Edwin M. Knorr
 DDES protocol	Uwe Egly
 de Boor algorithm	Daniel G. Aliaga
 de Casteljau algorithm	Petri Myllym&auml;ki
 dead ends	Dhananjay Kulkarni
 dead ends	Robby T. Tan
 dead ends	Stephanie A. C. Schuckers
 dead ends	Vishv M. Malhotra
 Dead Reckoning	Alexandre Manuel Mota
 Dead Reckoning	R&uuml;diger Lincke
 dead time	Armin Roth
 dead time	Mahmoud R. Hejazi
 dead time	Stefan J. Johansson
 dead time	Tiffany C. Veinot
 dead-code analysis	Lata Narayanan
 deadline credit	John Case
 deadline credit	Natalia Manola
 deadline miss ratio minimization	Larry Carter
 deadline miss ratio minimization	Mark Sanderson
 deadline missing time	Hal R. Varian
 deadline missing time	Iain S. Duff
 deadline missing time	Mart&iacute;n Llamas Nistal
 deadline missing time	Thomas Beth
 deadline monotonic	Dieter Baum
 deadline monotonic	Herman J. Haverkort
 deadline scheduling	M. Bernadine Dias
 deadline scheduling	Robert Gruber
 deadline scheduling	Thomas K&uuml;hne
 Deadline Scheduling	Weili Wu
 deadlines	Alessandro Barenghi
 deadlines	Christof Monz
 deadlines	Max Braun
 deadlines	Scott A. Hissam
 deadlines	Yuan Xie
 deadlock	John C. Grundy
 deadlock	Kurt Konolige
 deadlock	Marc Toussaint
 deadlock	Mehmet Utku Celik
 deadlock	Oscar Nierstrasz
 deadlock avoidance	Renate A. Schmidt
 deadlock avoidance	Sergey Brin
 deadlock detection	John F. Rockart
 deadlock detection	Joshua S. Hodas
 deadlock detection	Moshe Mor
 deadlock detection	Roger Wattenhofer
 deadlock formation	Oskari Heinonen
 deadlock formation	Vipul Mathur
 deadlock freedom	Jan Sacha
 deadlock freedom	Matthias Wimmer
 deadlock freedom	Peter Dickman
 deadlock prevention	Glynn Winskel
 deadlock prevention	Markus Esch
 deadlock prevention	Martin D. Davis
 deadlock prevention	Mourad Ykhlef
 deadlock prevention	Nancy Ide
 deadlock prevention	Steven Homer
 deadlock recovery	Renate Scheidler
 deadlock recovery	Sergey Chernov
 deadlock resolution	Keith O. Geddes
 deadlock resolution	Roberto Grossi
 deadlock resolution	Rolf Ingold
 deadlock resolution	Serene Banerjee
 deadlock.	Dieter Britz
 deadlock.	Dieter Fox
 deadlock.	Maria Chiara Meo
 deadlock-free routing	Lory D. Molesky
 deadlock-free routing	Martin Dietzfelbinger
 deadlock-free routing	Matthew Andrews
 deadlock-free routing	Mqhele E. Dlodlo
 deadlock-free routing	Rowan Davies
 deadlock-free routing	Steven J. E. Wilton
 deadlock-free routing algorithm	Maria Wimmer
 deadlock-free routing algorithm	Yasmin A. Rios-Solis
 deadlock-free routing algorithms	Osman Ugus
 deadlock-free routing algorithms	Virginia Dignum
 deadlock-freeness	John C. Kieffer
 deadlock-freeness	Kurt Lautenbach
 deadlock-freeness	Sofie Haesevoets
 deadlocks	Shelly Farnham
 deadlocks	Ulrich Furbach
 deadlocks	Weili Wu
 deadlocks	Yang Cui
 deadlocks characterisation	Osmar R. Za&iuml;ane
 deadlocks characterisation	Virginia Mary Lo
 deaf	Calogero G. Zarba
 deaf	Daniel Amyot
 deaf	Mathias Niepert
 debug diagrammatic	Anis Koubaa
 debug diagrammatic	Bj&ouml;rn Birnir
 debug diagrammatic	Catherine Beauchemin
 debug diagrammatic	Emmanuel Jeandel
 debug diagrammatic	Erkki Oja
 debug diagrammatic	Fadi Dornaika
 debug diagrammatic	Martha E. Pollack
 debug diagrammatic	Sylvain Pogodalla
 debugging	Anirban Mahanti
 debugging	Colin Cooper
 debugging	Deger Cenk Erdil
 debugging	Fr&eacute;d&eacute;ric Saubion
 debugging	Hans Dobbertin
 debugging	Janis Voigtl&auml;nder
 debugging	Makoto Amamiya
 debugging	Mi Zhang
 debugging	Michael Ley
 debugging	Michael T. Turvey
 debugging	Mihael Ankerst
 debugging	Robbert van Renesse
 debugging	Shengyue Ji
 debugging	Shimei Pan
 debugging	Stephen F. Smith
 debugging environment	B. J. Fogg
 debugging environment	Florent Masseglia
 debugging environment	Marie-Paule Lefranc
 debugging environment	Nadine Blinn
 debugging environment	Ram D. Gopal
 debugging environment	Sanjiva Weerawarana
 debugging environment	Susan Horwitz
 debugging environment	Thomas Dandekar
 debugging environment	Warwick Irwin
 debugging into existence	A. L. Narasimha Reddy
 debugging into existence	Xiaofang Zhou
 debugging tool	B. John Oommen
 debugging tool	Florentin W&ouml;rg&ouml;tter
 debugging tool	Marijn Janssen
 debugging tool	Nadine Schuurman
 debugging tool	Sanjoy K. Baruah
 debugging tool	Thomas Dean
 DEC AlphaStations	Eoin Mac Aoidh
 DEC AlphaStations	Gregorio Mart&iacute;nez P&eacute;rez
 DEC AlphaStations	Gurkan Nisanci
 DEC AlphaStations	H. James Hoover
 DEC AlphaStations	Robert Bellarmine Krug
 Dec. 1985. [11] R. Grzeszczuk	Claus-Peter Schnorr
 Dec. 1985. [11] R. Grzeszczuk	Didier Crestani
 Dec. 1985. [11] R. Grzeszczuk	Hanspeter Bieri
 Dec. 1985. [11] R. Grzeszczuk	Patrick Grother
 Dec. 1993. [9] M.C. Doggett	Claus-Peter Wirth
 Dec. 1993. [9] M.C. Doggett	Didier Donsez
 Dec. 1993. [9] M.C. Doggett	Hans-Peter Kriegel
 Dec. 1993. [9] M.C. Doggett	Patrick H. Madden
 decentering distortion	Paul M. Thompson
 decentering distortion	Peter Padawitz
 decentralization	Ralf M&ouml;ller
 decentralization	Richard Nock
 decision Diffie-Hellman problem	Margaret Martonosi
 decision Diffie-Hellman problem	Mark Claypool
 decision Diffie-Hellman problem	Vincenzo Loia
 decision making	Alexander Krumpholz
 decision making	Beniamino Di Martino
 decision making	Claudine Picaronny
 decision making	Matthew Sorell
 decision making	Matthias R&uuml;mmele-Werner
 decision making	Simon Litsyn
 decision making	Stephen Y. Chen
 decision probabilities	Alois Ferscha
 decision probabilities	Andreas Weber 0004
 decision probabilities	Daan Leijen
 decision problem	Hongbing Ji
 decision problem	Yutaka Oiwa
 Decision support	Jos&eacute; Ant&ocirc;nio Fernandes de Mac&ecirc;do
 Decision support	Knut Reinert
 Decision support	Lap Chi Lau
 Decision support	Natalia Juristo Juzgado
 Decision support	Nicolas Bruno
 Decision support	Richard A. Kemmerer
 Decision Support Databases	Jennifer S. Light
 Decision Support Databases	Perdita Stevens
 Decision Support Databases	Tommi Jaakkola
 Decision Support System	Benjamin N. Grosof
 Decision support system	Domenico Sacc&agrave;
 Decision Support System	John Shepherd
 Decision support system	Kenneth B. Haase
 Decision support system	Kimmo Fredriksson
 Decision support system	Nabil A. Kartam
 Decision support system	Oscar Nierstrasz
 decision support.	James M. Bieman
 decision support.	Jeffrey R. van der Hoeven
 decision support.	Ken Barker
 decision support.	Mara Abel
 decision support.	Nando R&uuml;ngener
 decision support.	Ninghui Li
 decision support.	Renato Portugal
 decision suppot software	James R. Kenevan
 decision suppot software	Richard A. Volz
 decision suppot software	Richard West
 decision suppot software	Thomas Heinis
 decision suppot software	W. James MacLean
 decision tables	Peter J. Keleher
 decision tables	Seth Hutchinson
 decision theory	Ashish Sureka
 decision theory	Dieter Gollmann
 decision theory	Jan Heering
 decision theory	Jan Kyncl
 decision theory	Janet L. Kolodner
 decision theory	Leonard McMillan
 decision theory	Luis Gravano
 decision theory	Marcus A. Magnor
 decision theory	Maribel Acosta
 decision theory	Palle Dahlstedt
 decision theory	Pawel Kaczmarek
 decision theory	Qianni Deng
 decision theory	Roberto Giacobazzi
 decision theory	Sihem Amer-Yahia
 decision theory	Stuart C. Shapiro
 decision tree	David A. Hull
 decision tree	Francesco Pappalardo
 decision tree	Hermann de Meer
 decision tree	Jong-Hyouk Lee
 decision tree	Julie A. McCann
 decision tree	Katja Tham
 decision tree	Martin Erwig
 decision tree	Mike Lincoln
 decision tree	Mikko Koivisto
 decision tree	Peter Fritzson
 decision trees	Ashish Tiwari
 Decision trees	Davide Ancona
 Decision trees	Mary Jane Irwin
 Decision trees	Simon L. Peyton Jones
 decision trees	Stuart E. Madnick
 Decision trees	Thomas J. Cashman
 decision trees	Wolfgang Semar
 Decision trees	Yvonne Lederer Antonucci
 declarative language	Mohamed A. Sharaf
 declarative language	Pablo E. Mart&iacute;nez L&oacute;pez
 declarative language	Rajmohan Rajaraman
 declarative language	Rudolf Freund
 Declarative query languages	Burkhard Freitag
 Declarative query languages	Damian M. Lyons
 Declarative query languages	Emil Vassev
 Declarative query languages	Xue Ying Chen
 declarative specification	Ahmad A. Masoud
 declarative specification	J&aacute;nos A. Csirik
 declarative specification	Josep Domingo-Ferrer
 declarative visual programming language	James Aspnes
 declarative visual programming language	Shigeru Chiba
 declassification	Gregory B. Gloor
 declassification	Lynne M. Reder
 decoding	Chitta Baral
 decoding	Chi-Yin Chow
 decoding	Joseph B. Evans
 decoding	Joseph Barjis
 decoding	Mong-Li Lee
 decoding	Naveen Ashish
 decoding	Steve Chien
 decoding	Steve Counsell
 Decoding algorithms	Liliana Ibanescu
 Decomate	Christopher A. Egert
 decomposable functions	Gerard R. Renardel de Lavalette
 decomposable functions	Peter Fettke
 decomposable functions	Renzo Orsini
 decomposable graphs	Kun-Mao Chao
 decomposable triangulated graph	Lap Chi Lau
 decomposable triangulated graph	Maria Hybinette
 decomposable triangulated graph	Naomi Nishimura
 decomposed logic sharing	Antonio Gonz&aacute;lez
 decomposed logic sharing	Cristina Dutra de Aguiar Ciferri
 decomposed logic sharing	Liliana Ibanescu
 decomposed logic sharing	Linda G. Shapiro
 decomposed logic sharing	Michael Mehl
 decomposed logic sharing	Mohan M. Trivedi
 decomposition	Arto Salomaa
 decomposition	Bernd Girod
 decomposition	Daniel A. Keim
 decomposition	David Dagan Feng
 Decomposition	Manfred Kudlek
 decomposition	Norbert E. Fuchs
 Decomposition	Prabhudev Konana
 decomposition	Thomas Zeugmann
 decomposition method	Lars Grunske
 decomposition method	Michael G. Christel
 decomposition method	Serge Abiteboul
 decomposition method	Sudipto Guha
 decomposition technique	Laurel D. Riek
 decomposition technique	Maguelonne Teisseire
 decomposition tool	Lars Knipping
 decomposition tool	Serge Demeyer
 decomposition type choice	Mathieu Blanchette
 decomposition type choice	Xilin Chen
 decompression architecture	James A. Landay
 decompression architecture	Jason P. Jue
 decoupled vector architectures	James Allan
 decoupled vector architectures	William F. Ogden
 decrease ratio	Klaus Berberich
 decrease ratio	Ralph Matthes
 decryption	Gerd Stumme
 decryption	Gero Decker
 decryption	Limsoon Wong
 decryption	Matthias Bender
 decryption	Pedro A. Gonz&aacute;lez-Calero
 decryption	Pierre Hansen
 decryption	Ronald Fagin
 DECstation	Manh Cuong Pham
 DECstation	Michael G. Dyer
 DECstation	Oren Etzioni
 DECstation	Pablo E. Mart&iacute;nez L&oacute;pez
 DECstation	Ralf Steinmetz
 DECstation	Tetsuo Shibuya
 dedicated disk space	Brigitte Endres-Niggemeyer
 dedicated disk space	Jeroen Geertzen
 dedicated disk space	Mar&iacute;a Alpuente
 dedicated disk space	Philip W. L. Fong
 dedicated hardware support	Istv&aacute;n S. B&aacute;tori
 dedicated hardware support	Johann Christoph Freytag
 dedicated hardware support	Leopoldo E. Bertossi
 dedicated hardware support	Torsten M&ouml;ller
 Deduction.	Michel E. Adiba
 Deduction.	Roberto M. Amadio
 deductive and object oriented databases	Norbert Ritter
 deductive and object oriented databases	Philip Gerlee
